FJ2227	Left deep palmar arch
FJ2230	Deltoid branch of left thoraco-acromial artery
FJ2231	Dorsal carpal branch of left radial artery
FJ2232	Left dorsal scapular artery
FJ2236	Left dorsal carpal branch of ulnar artery
FJ2237	Left palmar metacarpal artery
FJ2239	Left posterior circumflex humeral artery
FJ2240	Left posterior circumflex humeral artery
FJ2241	Left posterior ulnar recurrent artery
FJ2242	Left radial artery
FJ2243	Left radial recurrent artery
FJ2245	Left recurrent interosseous artery
FJ2246	Left subscapular artery
FJ2248	Left superficial palmar arterial arch
FJ2251	Left suprascapular artery
FJ2252	Trunk of left thoraco-acromial artery
FJ2253	Left thoracodorsal artery
FJ2255	Left thyrocervical trunk
FJ2256	Left superficial cervical artery
FJ2257	Left transverse cervical artery
FJ2258	Left ulnar artery
FJ2259	Left anterior ulnar recurrent artery
FJ2261	Radial collateral branch of left deep brachial artery
FJ2262	Radial collateral branch of right deep brachial artery
FJ2263	Acromial branch of right thoraco-acromial artery
FJ2264	Right anterior circumflex humeral artery
FJ2266	Right anterior interosseous artery
FJ2267	Right inferior ulnar collateral artery
FJ2268	Right axillary artery
FJ2271	Right brachial artery
FJ2273	Right circumflex scapular artery
FJ2275	Right common interosseous artery
FJ2276	Right costocervical trunk
FJ2277	Right deep brachial artery
FJ2278	Right deep cervical artery
FJ2279	Right deep palmar arch
FJ2282	Deltoid branch of right thoraco-acromial artery
FJ2283	Dorsal carpal branch of right radial artery
FJ2284	Right dorsal scapular artery
FJ2288	Right dorsal carpal branch of ulnar artery
FJ2289	Right palmar metacarpal artery
FJ2291	Right posterior circumflex humeral artery
FJ2292	Right posterior circumflex humeral artery
FJ2293	Right posterior ulnar recurrent artery
FJ2294	Right radial artery
FJ2295	Right radial recurrent artery
FJ2297	Right recurrent interosseous artery
FJ2298	Right subscapular artery
FJ2300	Right superficial palmar arterial arch
FJ2303	Right suprascapular artery
FJ2304	Trunk of right thoraco-acromial artery
FJ2305	Right thoracodorsal artery
FJ2307	Right thyrocervical trunk
FJ2308	Right superficial cervical artery
FJ2309	Right transverse cervical artery
FJ2310	Right ulnar artery
FJ2311	Right anterior ulnar recurrent artery
FJ2314	Left arteria radialis indicis
FJ2315	Left first common palmar digital artery
FJ2316	Left second common palmar digital artery
FJ2317	Left third common palmar digital artery
FJ2318	Set of dorsal digital arteries
FJ2330	Pectoral branch of left thoraco-acromial artery
FJ2331	Middle collateral branch of left deep brachial artery
FJ2332	Left arteria radialis indicis
FJ2333	Medial proper palmar digital artery of left index finger
